NAME,ALTERNATE_NAME,COMMUNITY,TYPE,RANKING,CLUSTER_AREA,HEIGHT_IN_M,WIDTH_IN_M,OWNERSHIP,ACCESS_FROM,TRIPADVISOR RATING,TRIPADVISOR VOTES,GOOGLE RATINGS,GOOGLE VOTES,Weighted rating,Total votes,RATING INFO
McNeilly Falls,,Stoney Creek,Cascade,C,Stoney Creek-Vinemount,12,2,public-I,McNeilly Rd.,,,,,,0,NO
Middle Glendale Falls,,Hamilton,Cascade,C,Red Hill,3.1,3.4,public,Bruce Trail,,,,,,0,NO
Mill Falls,"Wilson Falls, Mill Stream Waterfall, Upper Mill Falls",Ancaster,Waterfall,B,Ancaster-Sulphur,7,4,private,Old Dundas Rd. / Old Mill Rest.,,,,,,0,
Mineral Springs Falls,,Ancaster,Cascade,B,DV-Sulphur,3,2,private,Must view from owner's driveway only,,,,,,0,
Mountain Spring Falls,,Hamilton,Waterfall,B,Felker,15,2.4,public,Ackland Street,,,,,,0,NO
Mountview Falls,"Goulding Falls, Water Fall on the Mountain, Easterly Falls on Chedoke Radial Trail",Hamilton,Cascade,B,Chedoke-Mountview,10,6,public,Scenic Dr. / Chedoke Radial Trail Land,,,4.4,195,4.40,195,YES
Oak Knoll Falls,,Hamilton,Cascade,C,Red Hill,8,1.3,public-I,Oak Knoll Park / Mountain Brow Road,,,,,,0,NO
Patterson East Cascade,,Dundas,Cascade,C,Borer's,4.6,1.5,public,Patterson Road,,,,,,0,NO
Patterson West Cascade,Patterson Cascade,Dundas,Cascade,C,Borer's,4.3,1.2,public,Patterson Road,,,,,,0,NO
Princess Falls,"Lang's Falls, Upper Princess Falls, Westerly Falls on Chedoke Radial Trail",Hamilton,Waterfall,B,Chedoke-Scenic,7,2,public,Scenic Dr. / Chedoke Radial Trail Land,3.3,3,4.3,155,4.28,158,YES
Pritchard Falls,,Hamilton,Waterfall,C,Red Hill,4.5,1,public,Mountain Brow Blvd. / King's Forest Park,,,,,,0,NO
Progreston Falls,,Flamborough,Waterfall,A,Bronte,6.7,16.5,private,Progreston Rd.,,,,,,0,
Promontory Falls,,Stoney Creek,Waterfall,B,Stoney Creek-Winona,18,1,private,Fifty Rd.,,,,,,0,
Puddicombe Falls,,Stoney Creek,Cascade,C,Stoney Creek-Winona,6,2,public,Fifty Rd.,,,,,,0,NO
Rock Chapel Falls,,Flamborough,Waterfall,C,Borer's,8,1.5,public,Rock Chapel Rd.,,,,,,0,NO
Romar Cascade,West of Hydro Tower Falls,Flamborough,Cascade,C,Sydenham,7,1.2,public-I,Rock Chapel Rd. / Rock Chapel Sanctuary,,,,,,0,NO
Scenic Falls,,Hamilton,Cascade,A,Chedoke-Scenic,20,6,public,Scenic Dr. / Chedoke Radial Trail Head,,,,,,0,NO
Sherman Falls,"Smith's Falls, Whitton Falls, Fairy Falls, Angel Falls",Ancaster,Waterfall,A,Ancaster-Sulphur,17,8,private,Lions Club Rd.,,,,,,0,
Smith Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Vinemount,5,2,public-I,McNeilly Rd.,,,,,,0,NO
Snake Falls,,Burlington,Cascade,B,Grindstone,25,3,public-I,Bruce Trail at the bottom.,,,,,,0,NO
Steven's Falls,,Flamborough,Cascade,B,Spring,8,5,public-I,Middletown Rd.,,,,,,0,NO
Sugar Shack Falls,,Dundas,Waterfall,B,Borer's,9,4,public,Rock Chapel Rd. / Rock Chapel Sanctuary,,,,,,0,NO
Tew's Falls,"Hopkins Falls, Tunis Falls",Flamborough,Waterfall,A,Spencer-Logie's,41,9,public,Harvest Rd. / Spencer Gorge / Webster's Falls CA,4,243,4.4,1700,4.35,1943,YES
Tiffany Falls,,Ancaster,Waterfall,A,Tiffany-Coldwater,21,6,public,Wilson St. E. / Tiffany Falls CA,4.4,225,4.5,809,4.48,1034,YES
Upper Glendale Falls,Glendale Falls,Hamilton,Waterfall,C,Red Hill,3,3,public,Kingsview Dr.,,,,,,0,NO
Upper Hopkins Cascade,,Flamborough,Cascade,C,Borer's,3.2,2.3,public-I,Valley Rd.,,,,,,0,NO
Upper Mohawk Cascade,,Ancaster,Cascade,C,Chedoke-Scenic,3,2.4,public-I,Inaccessible,,,,,,0,NO
Upper Quarry Cascade,,Flamborough,Cascade,C,Quarry,4,1.2,private,Mountain Brow Rd.,,,,,,0,
Upper Sanatorium Falls,"Ravine Mountain Sanatorium, Sanatorium Falls",Hamilton,Cascade,C,Chedoke-Mountview,9,3,public,Sanatorium Rd. / Chedoke Civic Golf Course,,,,,,0,NO
Valley Falls,,Flamborough,Waterfall,C,Borer's,4.3,4.3,public,Bruce Trail at Valley Road,,,,,,0,NO
Veevers Falls,,Hamilton,Cascade,C,Felker,14,2.5,private,Greenhill Ave.,,,,,,0,
Walnut Grove Falls,,Hamilton,Waterfall,C,Red Hill,5,1.2,public-I,Inaccessible,,,,,,0,NO
Washboard Falls,Upper Tiffany Falls,Ancaster,Cascade,B,Tiffany-Coldwater,5,6,public-I,Inaccessible,,,,,,0,NO
Webster's Falls,"Spencer Falls, Hatt's Falls",Flamborough,Waterfall,A,Spencer-Logie's,22,30,public,Fallsview Rd. / Spencer Gorge / Webster's Falls CA,2.5,35,3.6,629,3.54,664,YES
Dundas Falls,,Dundas,Waterfall,B,Spencer-Logie's,6.4,6.7,private,King St.,,,,,,0,
Dyment Falls,,Flamborough,Waterfall,B,Sydenham,15.7,4,public,Sydenham Rd. lookout,,,3.8,18,3.80,18,YES
East Glover's Falls,,Hamilton,Cascade,C,Glover-Battlefield,6,3,public-I,Glover Mountain Rd.,,,,,,0,NO
East Greensville Falls,,Flamborough,Cascade,C,Spencer-Logie's,5.5,1.5,public,Crooks Hollow Rd / Crooks Hollow CA,,,,,,0,NO
East Iroquoia Falls,,Hamilton,Waterfall,B,Chedoke-Scenic,20,1.2,public,Hwy 403,,,,,,0,NO
East of Fifty Falls,Winona Falls,Stoney Creek,Waterfall,C,Stoney Creek-Winona,10,1.5,private,Fifty Rd.,,,,,,0,
Felker's Falls,,Hamilton,Waterfall,A,Felker,22,6,public,Ackland St. / Felker's Falls CA,4,21,4.5,1400,4.49,1421,YES
Ferguson Falls,,Flamborough,Waterfall,B,Spencer-Logie's,30,2,public-I,"Trail to Dundas Peak - to top of falls only, On trail to Dundas Peak from Tews Falls, located 30m before Glen Ferguson Side Trail",,,,,,0,NO
Fifty Rd. Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Winona,10,1.2,public,Fifty Rd.,,,,,,0,NO
Glover's Falls,,Hamilton,Cascade,C,Glover-Battlefield,8,3,public-I,Glover Mountain Rd.,,,,,,0,NO
Grand Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Winona,4,1,private,Fifty Rd.,,,,,,0,
Great Falls,"Waterdown Falls, Grindstone Falls, Smokey Hollow Falls, Dunn's Falls, The Falls, Palmer's Falls",Flamborough,Waterfall,A,Grindstone,10,5,public,Mill St / Smokey Hollow Resource Management Area,,,,,,0,NO
Grindstone Cascade,,Flamborough,Cascade,B,Grindstone,3,5,public,Mill St / Smokey Hollow Resource Management Area,,,,,,0,NO
Hannon Cascade,,Hamilton,Cascade,C,Red Hill,3,6,public-I,Rymal Road,,,,,,0,NO
Harvey Falls,Pond Falls,Stoney Creek,Waterfall,B,Stoney Creek-Winona,16,3,private,Fifty Rd.,,,,,,0,
Heritage Falls,Griffin Falls,Ancaster,Cascade,C,DV-Sulphur,5,3,public,Sulphur Springs Rd. / Hermitage ruins,,,,,,0,NO
Heritage Green Falls,Taro Falls,Hamilton,Waterfall,B,Felker,12.2,1.8,public,Ackland Street,,,,,,0,NO
Hermitage Cascade,Hermitage Falls,Ancaster,Cascade,B,DV-Sulphur,4,5,public,Sulphur Springs Rd. / Hermitage ruins,4.4,10,3.8,18,4.01,28,YES
Hidden Grindstone Falls,,Flamborough,Waterfall,C,Grindstone,8,1.5,public-I,Can be viewed from Bruce Trail on opposite side of Grindstone Creek,,,,,,0,NO
Jones Rd. Falls,,Stoney Creek,Cascade,C,Stoney Creek-Vinemount,6,2,private,McNeilly Rd.,,,,,,0,
Lewis Rd. East Falls,,Stoney Creek,Cascade,C,Stoney Creek-Winona,8,5,private,McNeilly Rd.,,,,,,0,
Lewis Rd. West Falls,,Stoney Creek,Waterfall,C,Stoney Creek-Winona,9,3,private,McNeilly Rd.,,,,,,0,
Limeridge Falls,,Hamilton,Waterfall,C,Red Hill,15,1,public-I,Inaccessible,,,,,,0,NO
Little Canterbury Falls,,Ancaster,Cascade,C,Ancaster-Sulphur,5,2,public,Old Dundas Rd.,,,,,,0,NO
Little Davis Falls,Lower Felker's Falls,Hamilton,Waterfall,B,Felker,3,8,public,Quigley Rd.,,,4.3,76,4.30,76,YES
Little Falls,,Ancaster,Cascade,C,Tiffany-Coldwater,7,3,public,Wilson St. E.,,,,,,0,NO
Lower Borer's Falls,Little Borer's Falls,Flamborough,Cascade,B,Borer's,3,5,public-I,Rock Chapel Rd. / Rock Chapel Sanctuary,,,,,,0,NO
Lower Chedoke Falls,,Hamilton,Cascade,A,Chedoke,6,11,public,Beddoe Dr. / Chedoke Civic Golf Course,,,,,,0,NO
